id,no,project,reporter,type,priority,contributors,turn_no,assignee,started,ended,spent hours,steps,comments count,valid,Q1,Q2,Q3,Notes,compositeScore,performanceBinary
1004298.0,346.0,C11gg0w13,.wy0w13yhr,Ticket,High,1.0,1,4ops,2022-01-02 11:12:51+00:00,2022-05-24 05:40:13+00:00,3402.456,2,49,True,5,5,5,This is an HD-Service,5.0,good
1004357.0,155.0,C01gg1_3_,z8y1_3_ygi,Ticket,Medium,1.0,1,4lip,2022-01-05 05:27:14+00:00,2022-01-12 07:47:47+00:00,170.342,3,4,True,3,4,4,This is an HD-Service and looks like communication outside the ticket done is not reflected on the ticket,3.6666666666666665,needs_improvement
1004361.0,14.0,C02hk0x93,0ny0x93yik,Ticket,Medium,3.0,1,4hghs,2022-01-05 06:50:56+00:00,2022-01-05 06:55:23+00:00,0.074,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-01-05 06:55:23+00:00,2022-05-31 12:11:20+00:00,3509.266,2,21,True,1,1,1,No Follow up or update to client,1.0,needs_improvement
,,,,,,,3,4lhl,2022-05-31 12:11:20+00:00,2023-01-02 06:27:09+00:00,5178.264,3,19,True,1,1,1,No Follow up or update to client,1.0,needs_improvement
1004362.0,15.0,C02hk0x93,0ny0x23yoi,Ticket,Medium,6.0,1,4hghk,2022-01-05 07:37:19+00:00,2022-01-05 07:42:00+00:00,0.078,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-01-05 07:42:00+00:00,2022-05-31 12:11:15+00:00,3508.488,2,18,True,1,1,1,No Follow up or update to client,1.0,needs_improvement
,,,,,,,3,4lhl,2022-05-31 12:11:15+00:00,2022-11-08 14:04:35+00:00,3865.889,1,21,True,1,1,1,No Follow up or update to client,1.0,needs_improvement
,,,,,,,4,0ny0x23yoi,2022-11-08 14:04:35+00:00,2022-11-29 11:31:21+00:00,501.446,1,0,True,1,1,1,No Follow up or update to client,1.0,needs_improvement
,,,,,,,5,4llr,2022-11-29 11:31:21+00:00,2022-11-29 11:36:56+00:00,0.093,1,0,True,1,1,1,No Follow up or update to client,1.0,needs_improvement
,,,,,,,6,4hhgi,2022-11-29 11:36:56+00:00,2022-11-29 11:40:16+00:00,0.056,1,0,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,7,4llr,2022-11-29 11:40:16+00:00,2023-02-27 14:50:54+00:00,2163.177,3,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
1004364.0,2923.0,C01ggz-3,z8yz-3ygp,Ticket,Medium,2.0,1,4hghq,2022-01-05 08:06:25+00:00,2022-01-05 08:10:42+00:00,0.071,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-01-05 08:10:42+00:00,2022-01-06 06:47:11+00:00,22.608,2,2,True,2,2,3,This is not an issue they used helpdesk to share files,2.3333333333333335,needs_improvement
1004366.0,2502.0,C06gg0.t,t.y0.tygp,Ticket,Medium,4.0,1,4hghk,2022-01-05 08:12:43+00:00,2022-01-05 08:14:05+00:00,0.023,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hlg,2022-01-05 08:14:05+00:00,2022-01-05 08:20:08+00:00,0.101,1,0,True,1,1,1,ph_name create the ticket and she should mark it as a service,1.0,needs_improvement
,,,,,,,3,4hghk,2022-01-05 08:20:08+00:00,2022-01-05 08:58:31+00:00,0.64,1,0,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,4,4hghq,2022-01-05 08:58:31+00:00,2022-01-05 08:59:18+00:00,0.013,1,0,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,5,4kpq,2022-01-05 08:59:18+00:00,2022-01-05 09:23:49+00:00,0.409,1,3,True,2,2,3,This is not an incident and duplicate for another ticket,2.3333333333333335,needs_improvement
1004368.0,231.0,C12gg0.a,ady0.aygh,Ticket,High,2.0,1,4hghs,2022-01-05 09:00:41+00:00,2022-01-05 09:05:16+00:00,0.076,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4osr,2022-01-05 09:05:16+00:00,2022-06-12 06:19:59+00:00,3789.245,6,49,True,2,1,4,excellent update to customer but no useful information on the ticket and don’t see any effort to simulate the case in proper time,2.3333333333333335,needs_improvement
1004427.0,2369.0,C13ggz0,bzyz0ygi,Ticket,High,1.0,1,4oio,2022-01-10 05:19:11+00:00,2022-04-13 06:24:10+00:00,2233.083,8,30,True,4,3,5,Only issue we are missing the linked ticket since the issue was in validation status but no dev ticket linked to this ticket,4.0,good
1004437.0,2147.0,C06ggcz9,t.ycz9ygi,Deployment,Medium,2.0,1,4lih,2022-01-10 08:58:55+00:00,2022-01-10 09:00:26+00:00,0.025,1,2,True,0,0,0,This is not an issue this deployment ticket is a task ticket,0.0,needs_improvement
,,,,,,,2,4hggg,2022-01-10 09:00:26+00:00,2023-01-29 07:15:28+00:00,9214.251,4,15,True,0,0,0,This is not an issue this deployment ticket is a task ticket,0.0,needs_improvement
1004440.0,614.0,C02gg0x93,0ny0x93yii,Ticket,Medium,2.0,1,4hghq,2022-01-10 09:43:49+00:00,2022-01-10 09:46:14+00:00,0.04,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-01-10 09:46:14+00:00,2022-11-26 20:55:40+00:00,7691.157,3,95,True,3,3,3,issue with this ticket is the delay of investigation and delay from customer to implement the provided solution,3.0,needs_improvement
1004444.0,2925.0,C01ggz-3,z8yz-3ygp,Ticket,Medium,2.0,1,4hghq,2022-01-10 11:34:42+00:00,2022-01-10 11:37:47+00:00,0.051,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-01-10 11:37:47+00:00,2022-03-23 06:10:34+00:00,1722.546,10,48,True,4,3,5,issue with this ticket it took long time from the customer to be able to investigate,4.0,good
1004446.0,18.0,C02hk0x93,0nynd01ygs,Ticket,Medium,2.0,1,4hghs,2022-01-10 12:40:50+00:00,2022-01-10 12:44:26+00:00,0.06,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lhl,2022-01-10 12:44:26+00:00,2022-02-21 12:33:19+00:00,1007.815,3,18,True,4,4,5,only issue missing update for one week,4.333333333333333,good
1004471.0,93.0,C02gg_3nwc,0ny_3nwcygo,Ticket,Medium,3.0,1,4khg,2022-01-11 12:28:28+00:00,2022-01-11 12:37:20+00:00,0.148,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-01-11 12:37:20+00:00,2022-01-11 13:19:02+00:00,0.695,2,2,True,4,4,4,,4.0,good
,,,,,,,3,4lhl,2022-01-11 13:19:02+00:00,2022-03-14 07:52:28+00:00,1482.557,2,14,True,3,3,3,need to have more attention to the ticket,3.0,needs_improvement
1004476.0,13.0,C02hk_3nwc,0ny_3nwcygo,Ticket,High,2.0,1,4khg,2022-01-11 13:17:46+00:00,2022-01-11 13:26:40+00:00,0.148,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-01-11 13:26:40+00:00,2022-01-11 13:36:40+00:00,0.167,1,1,True,4,4,4,duplicate ticket and closed without any work,4.0,good
1004503.0,377.0,C14gr8114,d1y10dygi,Ticket,Medium,1.0,1,4kpk,2022-01-13 05:22:50+00:00,2022-03-10 03:46:07+00:00,1342.388,3,11,True,4,4,4,,4.0,good
1004519.0,424.0,C12hgx18a,adyx18aygp,Ticket,High,2.0,1,4hghq,2022-01-13 13:47:04+00:00,2022-01-13 13:50:58+00:00,0.065,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-01-13 13:50:58+00:00,2022-05-18 11:18:17+00:00,2997.455,2,23,True,1,1,1,"very bad management for the ticket, no simulation or proper follow up and many escalation from service desk team",1.0,needs_improvement
1004526.0,347.0,C06ggctn0,t.yctn0ygp,Ticket,Medium,2.0,1,4hghk,2022-01-16 07:37:11+00:00,2022-01-16 08:17:45+00:00,0.676,1,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lqi,2022-01-16 08:17:45+00:00,2022-05-09 11:57:20+00:00,2715.66,4,16,True,5,5,5,delay from customer side with proper follow up from our team,5.0,good
1004530.0,5.0,C07hr_10u,u6y_10uygp,Ticket,High,1.0,1,4shl,2022-01-16 08:44:15+00:00,2022-01-23 06:57:59+00:00,166.229,2,18,True,5,5,5,,5.0,good
1004571.0,961.0,C06hg2xcu,t.y2xcuyhi,Ticket,High,2.0,1,4lrs,2022-01-17 21:57:28+00:00,2022-01-17 22:11:01+00:00,0.226,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-01-17 22:11:01+00:00,2022-10-23 07:11:14+00:00,6681.004,3,10,True,3,3,3,Issue not updated accurate and status changed to validation after 1 month and resolution provided after 5 month the ticket pending deployment for 4 months,3.0,needs_improvement
1004647.0,349.0,C06gsn039,t.yn039ygo,Ticket,Medium,2.0,1,4hghs,2022-01-23 11:58:19+00:00,2022-01-23 12:07:11+00:00,0.148,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sil,2022-01-23 12:07:11+00:00,2022-01-25 10:12:22+00:00,46.086,1,8,True,4,4,4,no update on the ticket with work done,4.0,good
1004667.0,24.0,C02gg0w_,0ny0w_ygi,Ticket,High,2.0,1,4hghk,2022-01-24 10:06:43+00:00,2022-01-24 10:09:55+00:00,0.053,3,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
