issueid,id,comment_seq,utr_seq,author,created,is_private,actionbody,author_role,created_dt,messageClean,wordCount
1004298.0,211718014.0,0,0,.wy0w13yhr,2022-01-02 11:12:51+00:00,0.0,dear ph_name team,reporter,2022-01-02 11:12:51+00:00,dear ph name team,4
1004298.0,211718014.0,0,1,.wy0w13yhr,2022-01-02 11:12:51+00:00,0.0,we need your urgent support to fix list of vulnerabilities reported in ph_name application .,reporter,2022-01-02 11:12:51+00:00,we need your urgent support to fix list of vulnerabilities reported in ph name application,15
1004298.0,211718014.0,0,2,.wy0w13yhr,2022-01-02 11:12:51+00:00,0.0,please provide resolution date before end of ‘january ph_technical .,reporter,2022-01-02 11:12:51+00:00,please provide resolution date before end of january ph technical,10
1004298.0,1045407.0,1,2,z2w_x,2022-01-02 11:13:02+00:00,1.0,investigation and simulation: .,others,2022-01-02 11:13:02+00:00,investigation and simulation,3
1004298.0,1045407.0,1,3,z2w_x,2022-01-02 11:13:02+00:00,1.0,development agile related issue : .,others,2022-01-02 11:13:02+00:00,development agile related issue,4
1004298.0,1045407.0,1,4,z2w_x,2022-01-02 11:13:02+00:00,1.0,solution: 1- did we resolve the problem and its symptoms?,others,2022-01-02 11:13:02+00:00,solution did we resolve the problem and its symptoms,9
1004298.0,1045407.0,1,5,z2w_x,2022-01-02 11:13:02+00:00,1.0,2- did we understand and resolve the root cause of the problem?,others,2022-01-02 11:13:02+00:00,did we understand and resolve the root cause of the problem,11
1004298.0,1045407.0,1,6,z2w_x,2022-01-02 11:13:02+00:00,1.0,3- will this problem appear at this customer or other customer site?,others,2022-01-02 11:13:02+00:00,will this problem appear at this customer or other customer site,11
1004298.0,1045408.0,2,0,4ggo,2022-01-02 11:13:06+00:00,0.0,"to provide our best support the following policy for tickets waiting customer feedback, and tickets under monitoring will be applied - ph_name team will remind the customer every two working days, after the second reminder if no response, the ph_name team will escalate the ticket and inform the customer that the ticket will be closed by end of second week if no response received.",others,2022-01-02 11:13:06+00:00,to provide our best support the following policy for tickets waiting customer feedback and tickets under monitoring will be applied ph name team will remind the customer every two working days after the second reminder if no response the ph name team will escalate the ticket and inform the customer that the ticket will be closed by end of second week if no response received,65
1004298.0,1045412.0,3,1,4ops,2022-01-02 11:17:42+00:00,0.0,report is not clear and contains points not related to the application so please remove the internal issues and segregate each application in separate sheet .,assignee,2022-01-02 11:17:42+00:00,report is not clear and contains points not related to the application so please remove the internal issues and segregate each application in separate sheet,25
1004298.0,1046266.0,4,1,.wy0w13ygq,2022-01-05 09:49:27+00:00,0.0,attached are the list of vulnerabilities for each system.,others,2022-01-05 09:49:27+00:00,attached are the list of vulnerabilities for each system,9
1004298.0,1046414.0,5,1,4ops,2022-01-06 05:26:36+00:00,0.0,still i can't identify each record for which system so please add new column and add the system name to be able to handle it,assignee,2022-01-06 05:26:36+00:00,still i can t identify each record for which system so please add new column and add the system name to be able to handle it,26
1004298.0,1048581.0,6,0,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,dear  ph_user ,reporter,2022-01-17 06:49:16+00:00,dear ph user,3
1004298.0,1048581.0,6,1,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,"as requested we have listed application related vulnerabilities , lets upgrade tls version in test environment and close all ph_technical .",reporter,2022-01-17 06:49:16+00:00,as requested we have listed application related vulnerabilities lets upgrade tls version in test environment and close all ph technical,20
1004298.0,1048581.0,6,2,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,"vulnerabilities ip port tls ph_path server is enabling the beast attack ph_ip_address ph_technical,ph_technical ,ph_technical tls server supports tls version 1.0",reporter,2022-01-17 06:49:16+00:00,vulnerabilities ip port tls ph path server is enabling the beast attack ph ip address ph technical ph technical ph technical tls server supports tls version,26
1004298.0,1048581.0,6,3,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_ip_address,reporter,2022-01-17 06:49:16+00:00,ph ip address,3
1004298.0,1048581.0,6,7,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,tls ph_path server is enabling the beast attack,reporter,2022-01-17 06:49:16+00:00,tls ph path server is enabling the beast attack,9
1004298.0,1048581.0,6,8,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_ip_address,reporter,2022-01-17 06:49:16+00:00,ph ip address,3
1004298.0,1048581.0,6,11,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical,reporter,2022-01-17 06:49:16+00:00,tls ph path server supports ph technical cipher algorithms ph technical ph ip address ph technical,16
1004298.0,1048581.0,6,12,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,below are web ph_technical please advice how to disable http for  below servers :,reporter,2022-01-17 06:49:16+00:00,below are web ph technical please advice how to disable http for below servers,14
1004298.0,1048581.0,6,13,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,vulnerabilities ip port http trace method enabled,reporter,2022-01-17 06:49:16+00:00,vulnerabilities ip port http trace method enabled,7
1004298.0,1048581.0,6,14,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_ip_address,reporter,2022-01-17 06:49:16+00:00,ph ip address,3
1004298.0,1049252.0,7,1,4ops,2022-01-20 04:35:48+00:00,0.0,we have updated server ph_ip_address so ph_technical and tomcats running now with ph_technical . 2 within other server ( ph_ip_address ) to complete the configurations ,assignee,2022-01-20 04:35:48+00:00,we have updated server ph ip address so ph technical and tomcats running now with ph technical within other server ph ip address to complete the configurations,27
1004298.0,1050174.0,8,1,4ops,2022-01-25 06:45:07+00:00,0.0,all ph_technical applications and tomcat are using ph_technical . 2 so please check it on test server and confirm to apply the same on production ,assignee,2022-01-25 06:45:07+00:00,all ph technical applications and tomcat are using ph technical so please check it on test server and confirm to apply the same on production,25
1004298.0,1050775.0,9,0,.wy0w13yhr,2022-01-27 06:37:28+00:00,0.0,dear  ph_user ,reporter,2022-01-27 06:37:28+00:00,dear ph user,3
1004298.0,1050775.0,9,1,.wy0w13yhr,2022-01-27 06:37:28+00:00,0.0,"our iso team preform a scanning on both uat servers ph_ip_address , ph_ip_address to test the fixed ph_technical but unfortunately still we can see same vulnerabilities are open . ",reporter,2022-01-27 06:37:28+00:00,our iso team preform a scanning on both uat servers ph ip address ph ip address to test the fixed ph technical but unfortunately still we can see same vulnerabilities are open,32
1004298.0,1050775.0,9,2,.wy0w13yhr,2022-01-27 06:37:28+00:00,0.0,please refer to attached excel sheet where you can find list of tls ph_path related ph_technical and http trace method enabled ph_technical are still reported . ,reporter,2022-01-27 06:37:28+00:00,please refer to attached excel sheet where you can find list of tls ph path related ph technical and http trace method enabled ph technical are still reported,28
1004298.0,1050782.0,10,1,4ops,2022-01-27 06:50:56+00:00,0.0,please share the new report,assignee,2022-01-27 06:50:56+00:00,please share the new report,5
1004298.0,1050785.0,11,0,.wy0w13yhr,2022-01-27 06:58:58+00:00,0.0,dear  ph_user ,reporter,2022-01-27 06:58:58+00:00,dear ph user,3
1004298.0,1050800.0,12,1,4ops,2022-01-27 07:33:26+00:00,0.0,in the new report you have 2 issues as below :,assignee,2022-01-27 07:33:26+00:00,in the new report you have issues as below,9
1004298.0,1050800.0,12,2,4ops,2022-01-27 07:33:26+00:00,0.0,1- used cipher : please share requimended cipher for tls 1.2 to configure it from our end .,assignee,2022-01-27 07:33:26+00:00,used cipher please share requimended cipher for tls to configure it from our end,14
1004298.0,1050800.0,12,3,4ops,2022-01-27 07:33:26+00:00,0.0,2- self sign certificate : ph_technical dosn't have it is  ph_user  certificate so please share ph_technical for all ph_technical tools to request certificate for the same or we can use one certificate for all ph_technical tools with different ports,assignee,2022-01-27 07:33:26+00:00,self sign certificate ph technical dosn t have it is ph user certificate so please share ph technical for all ph technical tools to request certificate for the same or we can use one certificate for all ph technical tools with different ports,43
1004298.0,1050984.0,13,1,.wy0w13yhr,2022-01-30 05:13:10+00:00,0.0,the attached mail contains the list of recommended ciphers for ph_technical .,reporter,2022-01-30 05:13:10+00:00,the attached mail contains the list of recommended ciphers for ph technical,12
1004298.0,1051057.0,14,1,4ops,2022-01-30 07:26:08+00:00,0.0,all recommended tls 1.2 cipher has been applied along with the new ph_technical,assignee,2022-01-30 07:26:08+00:00,all recommended tls cipher has been applied along with the new ph technical,13
1004298.0,1051099.0,15,0,.wy0w13yhr,2022-01-30 08:49:10+00:00,0.0,dear  ph_user ,reporter,2022-01-30 08:49:10+00:00,dear ph user,3
1004298.0,1051099.0,15,1,.wy0w13yhr,2022-01-30 08:49:10+00:00,0.0,please provide production file fixes so that will move same changes in production .,reporter,2022-01-30 08:49:10+00:00,please provide production file fixes so that will move same changes in production,13
1004298.0,1051114.0,16,1,4ops,2022-01-30 09:02:21+00:00,0.0,is it confirmed by your security team ph_technical,assignee,2022-01-30 09:02:21+00:00,is it confirmed by your security team ph technical,9
1004298.0,1051882.0,17,0,.wy0w13yhr,2022-02-01 11:07:36+00:00,0.0,dear  ph_user ,reporter,2022-02-01 11:07:36+00:00,dear ph user,3
1004298.0,1051882.0,17,1,.wy0w13yhr,2022-02-01 11:07:36+00:00,0.0,good news after fixing multiple ph_technical in uat environment the updated report the number of ph_technical reduced from ph_technical till ph_technical .,reporter,2022-02-01 11:07:36+00:00,good news after fixing multiple ph technical in uat environment the updated report the number of ph technical reduced from ph technical till ph technical,25
1004298.0,1051882.0,17,2,.wy0w13yhr,2022-02-01 11:07:36+00:00,0.0,"lets plan for production movement , please prepare files for tls and cipher related issues .",reporter,2022-02-01 11:07:36+00:00,lets plan for production movement please prepare files for tls and cipher related issues,14
1004298.0,1052556.0,18,0,.wy0w13yhr,2022-02-06 05:50:28+00:00,0.0,dear  ph_user ,reporter,2022-02-06 05:50:28+00:00,dear ph user,3
1004298.0,1052556.0,18,1,.wy0w13yhr,2022-02-06 05:50:28+00:00,0.0,please share release note for all changes which done in uat to fix tls and cipher issues so that we plan for production movement .,reporter,2022-02-06 05:50:28+00:00,please share release note for all changes which done in uat to fix tls and cipher issues so that we plan for production movement,24
1004298.0,1052693.0,19,1,4ops,2022-02-06 09:23:01+00:00,0.0,please share all ph_technical folders from production to prepare it for you also please share ph_technical from tomcat and this can be done only after create new certificate to update all configuration once . ,assignee,2022-02-06 09:23:01+00:00,please share all ph technical folders from production to prepare it for you also please share ph technical from tomcat and this can be done only after create new certificate to update all configuration once,35
1004298.0,1052874.0,20,0,.wy0w13yhr,2022-02-07 06:43:18+00:00,0.0,dear  ph_user ,reporter,2022-02-07 06:43:18+00:00,dear ph user,3
1004298.0,1052874.0,20,1,.wy0w13yhr,2022-02-07 06:43:18+00:00,0.0,all required files uploaded ( ph_technical folders and ph_technical for all ph_name system from production ) . ,reporter,2022-02-07 06:43:18+00:00,all required files uploaded ph technical folders and ph technical for all ph name system from production,17
1004298.0,1053679.0,21,1,4ops,2022-02-10 06:00:24+00:00,0.0,could you please let me know where you have upload the required file .,assignee,2022-02-10 06:00:24+00:00,could you please let me know where you have upload the required file,13
1004298.0,1054001.0,22,0,.wy0w13yhr,2022-02-13 05:53:23+00:00,0.0,dear  ph_user ,reporter,2022-02-13 05:53:23+00:00,dear ph user,3
1004298.0,1054001.0,22,1,.wy0w13yhr,2022-02-13 05:53:23+00:00,0.0,the ph_technical added for all ph_name,reporter,2022-02-13 05:53:23+00:00,the ph technical added for all ph name,8
1004298.0,1054001.0,22,2,.wy0w13yhr,2022-02-13 05:53:23+00:00,0.0,due to huge size of files couldn't added here i added the same in uat server ph_ip_address under ph_technical ph_path files ”,reporter,2022-02-13 05:53:23+00:00,due to huge size of files couldn t added here i added the same in uat server ph ip address under ph technical ph path files,26
1004298.0,1054180.0,23,1,4ops,2022-02-13 11:22:26+00:00,0.0,attached all new ph_technical and one the files updated will let you know,assignee,2022-02-13 11:22:26+00:00,attached all new ph technical and one the files updated will let you know,14
1004298.0,1054307.0,24,1,4ops,2022-02-14 04:24:40+00:00,0.0,"the new ph_technical and ph_technical uploaded to test server under (ph_technical ph_path files ph_path ph_technical files and ph_technical ph_technical ) and you can deploy it at anytime , for the certificates please copy each certificate to the required path which is available under ph_technical under ph_technical then replace the ph_technical and restart the tomcat we recommend no to do all applications at the same time",assignee,2022-02-14 04:24:40+00:00,the new ph technical and ph technical uploaded to test server under ph technical ph path files ph path ph technical files and ph technical ph technical and you can deploy it at anytime for the certificates please copy each certificate to the required path which is available under ph technical under ph technical then replace the ph technical and restart the tomcat we recommend no to do all applications at the same time,74
1004298.0,1054313.0,25,0,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,dear  ph_user ,reporter,2022-02-14 04:58:33+00:00,dear ph user,3
1004298.0,1054313.0,25,1,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,"thanks a lot for your quick response , lets make it a practice for production deployment we need proper release note .",reporter,2022-02-14 04:58:33+00:00,thanks a lot for your quick response lets make it a practice for production deployment we need proper release note,20
1004298.0,1054313.0,25,2,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,as you are aware in our bank infra team will deploy the changes not the application owner .,reporter,2022-02-14 04:58:33+00:00,as you are aware in our bank infra team will deploy the changes not the application owner,17
1004298.0,1054313.0,25,3,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,release note should be clear and provide all details in steps .,reporter,2022-02-14 04:58:33+00:00,release note should be clear and provide all details in steps,11
1004298.0,1054318.0,26,1,4ops,2022-02-14 05:43:40+00:00,0.0,for the helpdesk tickets everything is provided over comments and below required steps:,assignee,2022-02-14 05:43:40+00:00,for the helpdesk tickets everything is provided over comments and below required steps,13
1004298.0,1054318.0,26,3,4ops,2022-02-14 05:43:40+00:00,0.0,1- stop ph_technical application,assignee,2022-02-14 05:43:40+00:00,stop ph technical application,4
